Ulice,Mesto,Pocet
Havlíčkova,Brno,35
Bělohorská,Brno,35
Barvířská,Brno,35
Štolcova,Brno,34
Tomečkova,Brno,34
Pekárenská,Brno,34
Nezvalova,Brno,34
Nejedlého,Brno,34
Dědická,Brno,34
Chládkova,Brno,34
Žlutý kopec,Brno,33
U viaduktu,Brno,33
Lelkova,Brno,33
Krymská,Brno,33
Húskova,Brno,33
Cacovická,Brno,33
Běloruská,Brno,33
Bráfova,Brno,33
Stará,Brno,32
Osová,Brno,32
Komínská,Brno,32
Jakuba obrovského,Brno,32
Horníkova,Brno,32
Havránkova,Brno,32
Chvalovka,Brno,32
bratří čapků,Brno,31
Vrázova,Brno,31
Vinohrady,Brno,31
Spáčilova,Brno,31
Soběšická,Brno,31
Olbrachtovo náměstí,Brno,31
Náplavka,Brno,31
Koperníkova,Brno,31
Kneslova,Brno,31
Kaštanová,Brno,31
Kartouzská,Brno,31
Jana svobody,Brno,31
Jamborova,Brno,31
Geislerova,Brno,31
Vlčnovská,Brno,30
Vedlejší,Brno,30
Ryšánkova,Brno,30
Ptašínského,Brno,30
Poláčkova,Brno,30
Pastrnkova,Brno,30
Letovická,Brno,30
Kamanova,Brno,30
Hoblíkova,Brno,30
Břenkova,Brno,30
Bohunická,Brno,30
Čermákova,Brno,29
Zábrdovická,Brno,29
Zeiberlichova,Brno,29
Zaječí hora,Brno,29
Přízova,Brno,29
Prokofjevova,Brno,29
Mostecká,Brno,29
Mariánské náměstí,Brno,29
Fryčajova,Brno,29
Brandlova,Brno,29
Bohuslava martinů,Brno,29
Blatouchová,Brno,29
Středova,Brno,28
Měnínská,Brno,28
Lerchova,Brno,28
Kollárova,Brno,28
Juliánovské náměstí,Brno,28
Hilleho,Brno,28
Hapalova,Brno,28
Gebauerova,Brno,28
Fleischnerova,Brno,28
Šujanovo náměstí,Brno,27
Šmejkalova,Brno,27
Vsetínská,Brno,27
Točná,Brno,27
Topolky,Brno,27
Riegrova,Brno,27
Na pískové,Brno,27
Minoritská,Brno,27
Masarova,Brno,27
Kotlanova,Brno,27
Ke statku,Brno,27
Za mostem,Brno,26
Strnadova,Brno,26
Otakara ševčíka,Brno,26
Loosova,Brno,26
Kamenačky,Brno,26
Havlišova,Brno,26
Živného,Brno,25
Šeránkova,Brno,25
Slívova,Brno,25
Rostislavovo náměstí,Brno,25
Pšeník,Brno,25
Körnerova,Brno,25
Krokova,Brno,25
Krkoškova,Brno,25
Ječná,Brno,25
Buzkova,Brno,25
Babičkova,Brno,25
Adamovská,Brno,25
Vachova,Brno,24
Souhrady,Brno,24
Slepá,Brno,24
Ondrova,Brno,24
Okružní,Brno,24
Nadační,Brno,24
Musilova,Brno,24
Kosmova,Brno,24
Klarisky,Brno,24
Kachlíkova,Brno,24
Jilemnického,Brno,24
Bolzanova,Brno,24
Černovická,Brno,23
Čejkovická,Brno,23
ulice kosmonautů,Brno,23
Valchařská,Brno,23
Sladová,Brno,23
Pohořelec,Brno,23
Poděbradova,Brno,23
Podpěrova,Brno,23
Markéty kuncové,Brno,23
Langrova,Brno,23
Irkutská,Brno,23
Besední,Brno,23
Větrná,Brno,22
Skorkovského,Brno,22
Kristenova,Brno,22
Hrubého,Brno,22
Dalimilova,Brno,22
Burianovo náměstí,Brno,22
Bosonožské náměstí,Brno,22
Amerlingova,Brno,22
Šelepova,Brno,21
Těžební,Brno,21
Petrov,Brno,21
Nálepkova,Brno,21
Neklanova,Brno,21
Domažlická,Brno,21
Bystřinova,Brno,21
Arbesova,Brno,21
Vránova,Brno,20
Rybníček,Brno,20
Ruská,Brno,20
Matulkova,Brno,20
Maničky,Brno,20
Kubešova,Brno,20
Krausova,Brno,20
Přívrat,Brno,19
Přemyslovo náměstí,Brno,19
Páteřní,Brno,19
Pivovarská,Brno,19
Nezamyslova,Brno,19
Navrátilova,Brno,19
Myslivečkova,Brno,19
Křížkovského,Brno,19
Kotěrova,Brno,19
Heinrichova,Brno,19
Haasova,Brno,19
Glinkova,Brno,19
Eleonory voračické,Brno,19
Drážní,Brno,19
Brechtova,Brno,19
Životského,Brno,18
Červinkova,Brno,18
kosmonautů,Brno,18
Všetičkova,Brno,18
Vavřinecká,Brno,18
Třískalova,Brno,18
Pod horkou,Brno,18
Pisárecká,Brno,18
Mikulčická,Brno,18
Jircháře,Brno,18
Jindřichova,Brno,18
Hraničky,Brno,18
Dusíkova,Brno,18
Chlupova,Brno,18
Bochořákova,Brno,18
Arménská,Brno,18
Šmahova,Brno,17
Úpatní,Brno,17
Zvonařka,Brno,17
Potácelova,Brno,17
Hoštická,Brno,17
Houbalova,Brno,17
Hochmanova,Brno,17
Banskobystrická,Brno,17
Štýřické nábřeží,Brno,16
Čichnova,Brno,16
Útěchovská,Brno,16
ulice čoupkových,Brno,16
Spojovací,Brno,16
Peroutková,Brno,16
Pechova,Brno,16
Optátova,Brno,16
Odbojářská,Brno,16
Mučednická,Brno,16
Malátova,Brno,16
Klácelova,Brno,16
Kavčí,Brno,16
Jeřábkova,Brno,16
Jeronýmova,Brno,16
Jasanová,Brno,16
Cyrilská,Brno,16
Vítězná,Brno,15
Křepelčí,Brno,15
Kunzova,Brno,15
Kallabova,Brno,15
Jungmannova,Brno,15
Jihomoravské náměstí,Brno,15
Hlaváčkova,Brno,15
Hansmannova,Brno,15
Cacovice,Brno,15
Blatného,Brno,15
Škrobárenská,Brno,14
Čajkovského,Brno,14
náměstí míru,Brno,14
Vackova,Brno,14
U červeného,Brno,14
Trávníky,Brno,14
Tomanova,Brno,14
Podnásepní,Brno,14
Mírová,Brno,14
Mečířova,Brno,14
Meluzínova,Brno,14
Mariánské údolí,Brno,14
Marešova,Brno,14
Kaleckého,Brno,14
Jelínkova,Brno,14
Janáčkovo náměstí,Brno,14
Dunajevského,Brno,14
Doležalova,Brno,14
Chrpová,Brno,14
Borky,Brno,14
Antala staška,Brno,14
Valcha,Brno,13
Součkova,Brno,13
Rosického náměstí,Brno,13
Rokycanova,Brno,13
Ramešova,Brno,13
Podsedky,Brno,13
Opuštěná,Brno,13
Obecní,Brno,13
Ladova,Brno,13
Kupkova,Brno,13
Kořískova,Brno,13
