§ 57 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;27;;;
§38 odst.1 písm. a) zákon è. 56/2001 Sb., zákon o podmínkách provozu vozidel na pozemních komunikacích a o zmìnì zákona è. 168/1999 Sb., o pojištìní odpovìdnosti za škodu zpùsobenou provozem vozidla a o zmìnì nìkterých souvisejících zákonù (zákon o pojištìní odpovìdnosti z provozu vozidla), ve znìní zákona è. 307/1999 Sb.,;26;;;
§ 4 písm. c) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 5 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;26;;;
|§ 69 odst. 2  zákona è. 185/2001 Sb., o odpadech, ve znìní pozdìjších pøedpisù;26;;;
§ 27 odst.1 písm. e) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;24;;;
§ 67 odst.8  zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k)  zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;22;;;
"naøízení è.1/2002, kterou se vydává ""Tržní øád""|§ 4 odst. 1 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù";21;;;
|§50 odst. 1 písm. c) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;20;;;
|§8 odst. 1 písm. a) BOD 3. zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;19;;;
§ 54 odst. 2, zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;18;;;
§ 5 odst. 1 písm. f) a g), § 5 odst. 2 písm. a) a b) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. b), c) a d) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;18;;;
|§ 35 odst. 1 písm. j) zákona è. 65/2017 Sb., o ochranì zdraví pøed škodlivými úèinky návykových látek;18;;;
|§ 5 odst. 1 písm. b) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;17;;;
|§ 35 odst. 1 písm. n),  zákona è. 65/2017 Sb., o ochranì zdraví pøed škodlivými úèinky návykových látek;17;;;
§ 49 odst. 2 písm. a) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;16;;;
§4 písm.c) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 4 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;14;;;
èlánek è. 2, Obecnì závazné vyhlášky statutárního mìsta Brna è. 21/2011, kterou se stanovují podmínky pro spalování suchých rostlinných materiálù ve statutárním mìstì Brnì |§46 odst. 2 zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;13;;;
|§7 odst. 1 písm. c)  BOD 3 zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;13;;;
|§7 odst. 1 písm. c)  BOD 1.zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;13;;;
|§49 odst. 2 písm. c) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;13;;;
èlánek è.2 Obecnì závazné vyhlášky statutárního mìsta Brna è.19/2017, kterou se stanovují podmínky pro spalování suchých rostliných materiálù ve statutárním mìstì Brnì, |§ 4 odst. 2 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;12;;;
§ 27  odst.1 písm. j) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;10;;;
|§ 5 odst. 2 písm. a) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;9;;;
|§ 35 odst. 1 písm. f) zákona è. 65/2017 Sb., o ochranì zdraví pøed škodlivými úèinky návykových látek;9;;;
§ 25 odst. 1-7 zákona è. 13/1997 Sb., o pozemních komunikacích, ve znìní pozdìjších pøedpisù|§ 91 odst.2 písm.e) zákona è. 250/2016 Sb., o odpovìdnosti za pøestupky a øízení o nich;7;;;
§ 22 odst. 1 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 8 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;7;;;
§ 18 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 3 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;7;;;
§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;7;;;
|§ 4 odst. 2 zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;7;;;
|§7 odst. 2 písm. b) BOD 3 zák. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;6;;;
|§ 46 zákona è. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;6;;;
§ 3 odst. 3 písm. a) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. e) bod 1 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;5;;;
§ 27  odst.1 písm. p) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;5;;;
|§7 odst. 1 písm. a) zák. 251/2016 Sb., o nìkterých  pøestupcích, ve znìní pozdìjších pøedpisù;5;;;
|§ 5 odst. 2 písm. b) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;5;;;
|§ 5 odst. 1 písm. e) zákona è. 251/2016 Sb., o nìkterých pøestupcích, ve znìní pozdìjších pøedpisù;5;;;
|§ 49 odst. 1 písm. a) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;5;;;
§ 54 odst. 1, zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;4;;;
§ 25 odst. 1-7 zákona è. 13/1997 Sb., o pozemních komunikacích, ve znìní pozdìjších pøedpisù;4;;;
§4 zák. 168/1999 Sb., o pojištìní odpovìdnosti za škodu zpùsobenou provozem vozidla a o zmìnì nìkterých souvisejících zákonù (zákon o pojištìní odpovìdnosti z provozu vozidla)|§16 zák. 168/1999 Sb., o pojištìní odpovìdnosti za škodu zpùsobenou provozem vozidla a o zmìnì nìkterých souvisejících zákonù (zákon o pojištìní odpovìdnosti z provozu vozidla);3;;;
§ 49 odst. 2 písm. b) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;3;;;
|§50 odst. 2 písm. b) zák. 200/1990 Sb., o pøestupcích, ve znìní pozdìjších pøedpisù;3;;;
§21 odst. 5 zákona è. 361/2000Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 8 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;2;;;
§10 odst.1 písm. a) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125d odst. 1 písm. a) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;2;;;
§ 53 odst.5 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. k) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;2;;;
§ 5 odst. 2 písm. f) zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 6 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;2;;;
§ 3, odst.1,2 a 3 nebo § 11 odst. 1,2,3, nebo 4|§ 35 odst. 1 písm. a) zákona è. 65/2017 Sb., o ochranì zdraví pøed škodlivými úèinky návykových látek;2;;;
§ 22 odst. 2 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù|§ 125c odst. 1 písm. f) bod 8 zákona è. 361/2000 Sb., o provozu na pozemních komunikacích a o zmìnách nìkterých zákonù, ve znìní pozdìjších pøedpisù;2;;;
