Jana babáka;103;;;;2017-10-04 02:22:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jana neèase;5;;;;2017-10-04 02:24:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jana svobody;31;;;;2017-10-05 13:07:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jana uhra;295;;;;2017-10-05 13:18:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Jandáskova;1;;;;2017-10-05 13:28:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Janouškova;38;;;;2017-10-05 13:28:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Janáèkovo námìstí;14;;;;2017-10-05 13:31:00.000;námìstí 28. øíjna 11, Brno-Èerná Pole
Jarní;6;;;;2017-10-11 10:55:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Jasanová;16;;;;2017-10-11 10:56:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Jaselská;105;;;;2017-10-12 17:13:00.000;námìstí 28. dubna 2, Brno-Bystrc
Javorová;1;;;;2017-10-13 22:23:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jedlová;4;;;;2017-10-13 22:24:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jedovnická;43;;;;2017-10-17 10:02:00.000;námìstí 28. øíjna 19, Brno-Èerná Pole
Jehliènatá;3;;;;2017-10-18 23:07:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jehnická;3;;;;2017-10-18 23:09:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jelínkova;14;;;;2017-10-18 23:09:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jemelkova;60;;;;2017-10-18 23:11:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jeneweinova;35;;;;2017-10-18 23:12:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jeronımova;16;;;;2017-10-18 23:13:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jezerní;1;;;;2017-10-18 23:14:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jezuitská;430;;;;2017-10-18 23:16:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jeèná;25;;;;2017-10-18 23:57:00.000;námìstí 28. øíjna 23, Brno-Èerná Pole
Jeøabinová;4;;;;2017-10-21 08:46:00.000;námìstí 28. dubna, Brno
Jeøábkova;16;;;;2017-10-22 10:16:00.000;námìstí 28. dubna, Brno
Jekova;8;;;;2017-10-23 09:52:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Jihlavská;306;;;;2017-10-23 09:52:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Jihomoravské námìstí;15;;;;2017-10-23 09:58:00.000;námìstí 28. øíjna 10, Brno-Èerná Pole
Jilemnického;24;;;;2017-10-23 10:12:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Jindøichova;18;;;;2017-10-23 10:21:00.000;námìstí 28. øíjna 2, Brno-Èerná Pole
Jircháøe;18;;;;2017-10-23 10:29:00.000;námìstí 28. øíjna 8, Brno-Èerná Pole
Jiránkova;11;;;;2017-10-23 10:36:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jiráskova;191;;;;2017-10-23 10:36:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jiøíkovského;12;;;;2017-10-24 04:03:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Jiní námìstí;1;;;;2017-10-24 04:06:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Josefská;140;;;;2017-10-24 04:07:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
Josefy faimonové;72;;;;2017-10-24 04:09:00.000;námìstí 28. øíjna 1, Brno-Èerná Pole
