ulice,město,celkem,dopravní
Prumperk,Brno,2,2
Prušánecká,Brno,146,139
Práčata,Brno,2,
Průchodní,Brno,8,7
Ptašínského,Brno,30,29
Puchýřova,Brno,10,10
Purkyňova,Brno,974,956
Puškinova,Brno,3,3
Pálavské,Brno,1,1
Pálavské Náměstí,Brno,243,197
Páteřní,Brno,19,19
Písečník,Brno,1,1
Píškova,Brno,2,2
Přadlácká,Brno,446,443
Přední,Brno,11,5
Přemyslovo Náměstí,Brno,19,9
Příkop,Brno,207,203
Přímá,Brno,7,7
Přírodní,Brno,113,113
Přístaviště,Brno,1,1
Přístavní,Brno,341,286
Přívrat,Brno,19,18
Přízova,Brno,29,26
Příčky,Brno,2,1
Příční,Brno,101,99
Pšeník,Brno,25,24
Pšikalova,Brno,3,3
Radlas,Brno,9,9
Radnická,Brno,179,179
Raisova,Brno,4,4
Rajhradská,Brno,3,1
Rakovecká,Brno,822,627
Rakovecká Hotel,Brno,11,11
Rakovecká Zátoka,Brno,1,
Ramešova,Brno,13,13
Rašelinová,Brno,2,1
Rašínova,Brno,62,59
Rebešovická,Brno,11,5
Reissigova,Brno,37,37
Rekreační,Brno,12,12
Renneská Třída,Brno,142,118
Renčova,Brno,36,32
Rerychova,Brno,116,111
Resslova,Brno,35,34
Revoluční,Brno,11,11
Rezkova,Brno,11,11
Režná,Brno,2,
Richtrova,Brno,4,4
Riegrova,Brno,27,25
Roháčkova,Brno,3,3
Rokle,Brno,1,
Rokycanova,Brno,13,13
Rokytova,Brno,226,219
Rolencova,Brno,1,
Rolnická,Brno,153,151
Rooseveltova,Brno,1342,1287
Rosická,Brno,7,7
Rosického Náměstí,Brno,13,13
Rostislavovo Náměstí,Brno,25,22
Rotalova,Brno,78,75
Rotreklova,Brno,3,3
Roubalova,Brno,6,6
Rousínovská,Brno,12,1
Rovinka,Brno,2,2
