15;Hansmannova
15;Glinkova
15;Blatného
14;Šmahova
14;Èajkovského
14;Trávníky
14;Meèíøova
14;Masarova
14;Marešova
14;Malátova
14;Kallabova
14;Kaleckého
14;Jungmannova
14;Jindøichova
14;Jelínkova
14;Janáèkovo Námìstí
14;Hochmanova
14;Dìdická
14;Dunajevského
14;Borky
13;Útìchovská
13;Zvonaøka
13;Valcha
13;Vackova
13;U Èerveného
13;Tomanova
13;Spojovací
13;Souèkova
13;Rosického Námìstí
13;Rokycanova
13;Ramešova
13;Obecní
13;Ladova
13;Kupkova
13;Krokova
13;Kigginsova
13;Kalvodova
13;Helenèina
13;Dolealova
13;Daèického
13;Antala Staška
12;Tkalcovská
12;Rekreaèní
12;Opuštìná
12;Optátova
12;Netušilova
12;Meluzínova
12;Koøískova
12;Klajdovská
12;Kamechy
12;K Terminálu
12;Jiøíkovského
12;Jabloòová
12;Hlaváèova
12;Cyrilská
12;Alešova
11;Šaldova
11;Zemkova
11;Zavøená
11;Urbánkova
11;Táborského Nábøeí
11;Tylova
