ULICE,město,POCET celkem,POCET doprava
Modřická,Brno,4,3
Modřínová,Brno,1,
Mojmírovo Náměstí,Brno,652,4
Mojžíšova,Brno,1,
Mokrohorská,Brno,1,
Moldavská,Brno,79,5
Molákova,Brno,104,4
Moravanská,Brno,4,
Moravská,Brno,1,
Moravské Náměstí,Brno,338,8
Mostecká,Brno,29,2
Mozartova,Brno,453,9
Mozolky,Brno,39,3
Mošnova,Brno,1,
Mrkosova,Brno,10,2
Muchova,Brno,3,
Musilova,Brno,24,
Musorgského,Brno,8,1
Mutěnická,Brno,42,5
Mučednická,Brno,16,
Muškátová,Brno,1,1
Myslbekova,Brno,1,
Myslivecká,Brno,1,1
Myslivečkova,Brno,19,
Myslivní,Brno,6,2
Myslínova,Brno,4,2
Máchalova,Brno,5,
Máchova,Brno,11,
Mácova,Brno,1,1
Májová,Brno,3,
Mánesova,Brno,58,13
Mášova,Brno,288,
Mírová,Brno,14,9
Místní,Brno,1,
Míčkova,Brno,5,1
Měnínská,Brno,28,
Měřičkova,Brno,7,
Měšťanská,Brno,11,9
Na Kovárně,Brno,1,1
Na Lukách,Brno,3,1
Na Pískové,Brno,27,2
Nad Dědinou,Brno,7,1
Nad Kašnou,Brno,2,
Nad Pisárkami,Brno,1,1
Nad Přehradou,Brno,41,
Nadační,Brno,24,2
Navrátilova,Brno,19,
Nedbalova,Brno,2,1
Nejedlého,Brno,34,2
Neklanova,Brno,21,1
Neklež,Brno,6,1
Nerudova,Brno,178,
Netopýrky,Brno,122,3
Netroufalky,Brno,971,123
Netušilova,Brno,12,
Neumannova,Brno,2,
Neužilova,Brno,129,1
Nezamyslova,Brno,19,9
Nezvalova,Brno,34,
Nešverova,Brno,2,
Nivky,Brno,4,1
Nohavicova,Brno,2,
Nopova,Brno,74,2
Nouzová,Brno,2,
Novobranská,Brno,197,4
Novodvorská,Brno,3,
Novolíšeňská,Brno,217,36
Novoměstská,Brno,78,3
Nová,Brno,1,
Nováčkova,Brno,129,3
Nové Nivky,Brno,1,
Nové Náměstí,Brno,7,
Nové Sady,Brno,196,6
Nádražní,Brno,1388,825
Nádvorní,Brno,139,24
Náhorní,Brno,2,
Nálepkova,Brno,21,1
Náměstí 28. Dubna,Brno,113,53
Náměstí 28. Října,Brno,386,6
Náměstí 3. Května,Brno,2,1
Náměstí Karla IV.,Brno,9,1
Náměstí Míru,Brno,14,4
Náměstí Odboje,Brno,1,
Náměstí Republiky,Brno,84,5
Náměstí SNP,Brno,107,8
Náměstí Svobody,Brno,208,73
Náměstí Svornosti,Brno,53,21
Náplavka,Brno,31,8
Nárožní,Brno,1,
Návrší Svobody,Brno,1,
Obecní,Brno,13,
Obilní Trh,Brno,1303,10
Obilní Trh-11,Brno,1,
Obilní Trh-U,Brno,1,
Oblá,Brno,586,34
Obvodová,Brno,139,4
Obřanská,Brno,52,2
Obůrky,Brno,3,
Odbojářská,Brno,16,1
Oderská,Brno,48,10
Odlehlá,Brno,1,
Okrouhlá,Brno,118,5
Okružní,Brno,24,19
Olbrachtovo Náměstí,Brno,31,
Oldřišky Keithové,Brno,1,
Olomoucká,Brno,72,11
Olšová,Brno,4,
Olší,Brno,1,1
Ondrouškova,Brno,43,12
Ondrova,Brno,24,14
Ondráčkova,Brno,10,3
Ondříčkovo Náměstí,Brno,4,2
Opavská,Brno,78,11
Opletalova,Brno,113,1
Optátova,Brno,16,4
Opuštěná,Brno,13,1
Opálkova,Brno,66,13
Orlí,Brno,389,3
Osová,Brno,32,5
Ostopovická,Brno,1,
Ostrovačická,Brno,7,1
Ostružinová,Brno,4,
Ostrá,Brno,5,
Otakara Ševčíka,Brno,26,1
Otevřená,Brno,11,1
Otiskova,Brno,1,1
Ovocná,Brno,5,1
Ořechovská,Brno,54,
Ořešínská,Brno,2,
Pahrbek,Brno,3,2
Palachovo Náměstí,Brno,85,
Palackého Náměstí,Brno,36,
Palackého Třída,Brno,1435,20
Palackého Vrch,Brno,5,5
Palcary,Brno,464,38
Palírenská,Brno,2,
Panenská,Brno,4,
Panská,Brno,70,
Park Marie Restituty,Brno,1,1
Pastrnkova,Brno,30,5
Pastviny,Brno,77,33
Pavlovská,Brno,49,24
Pavlíkova,Brno,2,
Pechova,Brno,16,1
Pekařská,Brno,1106,12
Pekárenská,Brno,34,
Pellicova,Brno,2249,7
Peroutková,Brno,16,
Perunova,Brno,5,
Petra Křivky,Brno,421,67
Petrov,Brno,21,
Petrská,Brno,219,1
Petrůvky,Brno,1,1
